	CB10	CB11	CB12	CB13	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	taxonomy
ASV_152	0	0	0	0	0	9	8	76	54	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_153	0	0	0	142	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_154	0	2	0	0	0	0	0	0	139	0	0	0	Bacteria;Firmicutes;Clostridia;Thermincolales;Thermincolaceae;Thermincola;
ASV_155	0	0	0	0	0	0	0	0	0	141	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_156	0	0	138	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group;
ASV_157	0	0	0	137	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;;
ASV_158	0	0	0	0	0	0	2	8	127	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;
ASV_159	0	0	93	43	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_160	0	0	11	124	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_161	0	8	0	22	47	17	29	11	0	0	0	0	Bacteria;;;;;;
ASV_162	0	0	7	126	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;
ASV_163	0	0	0	0	0	0	0	0	0	133	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group;
ASV_164	0	0	0	0	0	0	0	132	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
ASV_165	0	0	0	0	0	0	0	0	132	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
ASV_166	0	0	0	0	0	0	16	0	0	72	39	4	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas;
ASV_167	0	0	0	0	0	0	0	129	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_168	0	0	0	0	0	0	0	0	19	53	50	7	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_169	0	126	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_170	0	0	0	126	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Megamonas;
ASV_171	0	0	0	0	0	0	0	0	0	80	42	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_172	0	0	0	0	2	2	4	57	3	31	9	12	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;
ASV_173	0	0	0	0	0	0	0	0	86	21	10	0	Bacteria;Firmicutes;Clostridia;;;;
ASV_174	0	0	70	46	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_175	19	21	0	0	0	0	0	0	74	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;
ASV_176	0	0	0	0	0	0	0	0	0	0	82	32	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_177	0	0	112	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_178	0	4	0	0	107	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;;
ASV_179	0	0	111	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_180	0	0	0	111	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
